Sample_ID;Site_ID;Inv.nr;Sub nr.;Fyndlåda;Objekt;Find nr.;Artefact;Type;Skärning;Sweref_N;Sweref_E;Parish;Foto nr.;Material;Color;Hue;Texture_1;Texture_2;Luster;Sedimentary structures;Foliation;Grain size;Layering;Topography;Homogeneity;Inclusion;%-inclusion;Surface;Patina;Max width (mm);Max length (mm);Max height (mm);Weight(g)
1;;4925;;;;;Point;Point;;7097169;695505;Bjurholm;"IMG_9309;IMG_9310";Quartzite;Translucent;Translucent;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;18;58;5;6
2;Bjurholm 336;92433;4;;;;Arrow point fragment;Point fragment;;7096348;692959;Bjurholm;IMG_9311;Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;No;15;24;5;2
3;Bjurholm 335;15302;1;;;;Arrow point preform;Preform;;7096501;692860;Bjurholm;"IMG_9312;IMG_9313;IMG_9314";Quartzite;Gray;Light;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Granoblastic;Non-foliated;Fine;Yes;;;Iron oxide;Yes;21;53;7;7
4;Bjurholm 335;15302;23;;;;Arrow point fragment;Point fragment;;7096501;692860;Bjurholm;"IMG_9315;IMG_9316";Quartzite;Black;Dark;Granular;Medium-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;Yes;;;;Yes;15;15;7;2
5;Bjurholm 335;15302;35;;;;Arrow point fragment;Point fragment;;7096501;692860;Bjurholm;IMG_9317;Breccie quartz;Opaque;Light;Massive;Fine-grained;Bright vitreous;None;None;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;;No;11;16;6;
6;Burträsk 32;15319;15;;;;Point fragment;Point fragment;;7149885;761582;Burträsk;"IMG_9318;IMG_9319";Quartzite;Gray;Light;Massive;Fine-grained;Dull;None;None;Porphyroblastic;Non-foliated;Conchoidal;No;Quartz;5;;No;15;16;5;1
7;Burträsk 181;27124;1;;;;Point preform;Preform;;7165076;783785;Burträsk;"IMG_9320;IMG_9321";Quartz;Opaque;Light;Massive;Massive;Bright vitreous;None;None;Massive;Non-foliated;Irregular;Yes;;;;Yes;43;48;;
8;;4603;;;;;Point;Point;;7132482;784349;Bygdeå;"IMG_9322;IMG_9323";Quartzite;Gray;Dark;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;Silicon on one side;No;15;81;;
9;;17440;;;;;Point;Point;;7144375;717871;Degerfors;"IMG_9324;IMG_9325";Quartz;Opaque;Light;Massive;Fine-grained;Waxy;None;None;Granoblastic;Non-foliated;Conchoidal;Yes;;;;No;18;42;7;7
10;;19273;12;;;;Arrow point;Point;;7144375;717871;Degerfors;"IMG_9326;IMG_9328";Quartzite;Opaque;Light;Massive;Medium-grained;Waxy;None;None;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;;No;18;23;6;3
