reading_no	sample_measurement_id	sample_id	site_id	parish	patina	munsell_hue	munsell_value	hue	color	material	artefact	type	note_measurement	texture_1	texture_2	luster	sedimentary_structures	foliation	topography	homogeneity	inclusion	surface	sample_size	t[1]	t[2]	t[3]
619	1	1	MV	Bjurholm	No	2.5Y	 8/2	Translucent	Translucent	Quartzite	Point	Point	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Medium	7.572201194513122	-0.5280739060237838	0.8686035925786495
620	2	2	Bjurholm 336	Bjurholm	No	N1	 	Dark	Black	Quartzite	Arrow point fragment	Point fragment	MV	Granular	Medium-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Small	-2.3093802298551234	0.5750079056937885	-1.6204187616559746
621	3a	3	Bjurholm 335	Bjurholm	Yes	7.5Y	 3/1	Light	Gray	Quartzite	Arrow point preform	Preform	Base	Granular	Medium-grained	Bright vitreous	Possible bedding	None	Fine	Yes	MV	Iron oxide	Medium	-1.115425900102537	0.24258116024659826	1.269978887766559
622	3b	3	Bjurholm 335	Bjurholm	Yes	7.5Y	 3/1	Light	Gray	Quartzite	Arrow point preform	Preform	Tip, oxidized	Granular	Medium-grained	Bright vitreous	Possible bedding	None	Fine	Yes	MV	Iron oxide	Medium	0.1688807713103458	2.4760730000436117	2.25139965348045
623	4	4	Bjurholm 335	Bjurholm	Yes	N1	 	Dark	Black	Quartzite	Arrow point fragment	Point fragment	MV	Granular	Medium-grained	Bright vitreous	None	None	Fine	Yes	MV	MV	Small	-0.06033342360469596	0.8571288101677645	0.8266350109222163
624	5	5	Bjurholm 335	Bjurholm	No	2.5Y	 9/1	Light	Opaque	Breccie quartz	Arrow point fragment	Point fragment	MV	Massive	Fine-grained	Bright vitreous	None	None	Fine	No	Dark mineral grains	MV	Small	-1.7605915401095447	-0.25236251148148375	0.9824309497283565
625	6	6	Burträsk 32	Burträsk	No	N4	 	Light	Gray	Quartzite	Point fragment	Point fragment	MV	Massive	Fine-grained	Dull	None	None	Conchoidal	No	Quartz	MV	Small	7.299686560718576	0.8868173109438272	2.4781960284038145
626	7	7	Burträsk 181	Burträsk	Yes	5Y	 9/2	Light	Opaque	Quartz	Point preform	Preform	MV	Massive	Massive	Bright vitreous	None	None	Irregular	Yes	MV	MV	Large	-3.3407213028344485	-3.584750675541621	0.8953778980323002
627	7	7	Burträsk 181	Burträsk	Yes	5Y	 9/2	Light	Opaque	Quartz	Point preform	Preform	MV	Massive	Massive	Bright vitreous	None	None	Irregular	Yes	MV	MV	Large	-2.3000017635841283	-4.392197800228265	1.2530477240709705
628	8	8	MV	Bygdeå	No	N2	 	Dark	Gray	Quartzite	Point	Point	MV	Granular	Medium-grained	Bright vitreous	Possible bedding	None	Conchoidal	Yes	MV	Silicon on one side	Medium	-0.6767231766980066	0.8260399942135253	-1.1450980966303947
