reading_no;reading_type;duration;time;user;sigma_value;units;batch;heat;lot;note_xrf;sample_measurement_id;sample_id;site_id;sweref_N;sweref_E;coord_ref;parish;patina;munsell_hue;munsell_value;hue;color;material;artefact;type;note_measurement;texture_1;texture_2;luster;sedimentary_structures;foliation;topography;homogeneity;inclusion;%-inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;river;mode;Bal;12Mg;13Al;14Si;15P;16S;17Cl;19K;20Ca;23V;24Cr;25Mn;26Fe;27Co;28Ni;29Cu;30Zn;33As;34Se;37Rb;38Sr;39Y;40Zr;41Nb;42Mo;46Pd;47Ag;48Cd;50Sn;51Sb;56Ba;72Hf;73Ta;74W;75Re;79Au;80Hg;81Ti;82Pb;83Bi;90Th;92U
619;Mining;132.02;fre feb 14, 2020 - 15:45:40;User;2;%;;;;;1;1;;7097169;695505;Sweref 99 TM;Bjurholm;No;2.5Y; 8/2;Colourless;Translucent;Quartzite;Point;Point;;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;;;18;58;5;6;1044;Medium;Öreälven;Mining;;;30.936;875.920;0.4073 ;15.585;38.399;20.139;0.8506 ;;0.0031 ;0.2467 ;0.0074 ;0.0034 ;;;;;;;;;;;;;;;0.0042 ;;0.0560 ;;;;;;;0.3574 ;;;;
620;Mining;130.96;fre feb 14, 2020 - 15:48:36;User;2;%;;;;;2;2;Bjurholm 336;7096348;692959;Sweref 99 TM;Bjurholm;No;N1; ;Dark;Black;Quartzite;Arrow point fragment;Point fragment;;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;;;15;24;5;2;360;Small;Öreälven;Mining;565.916;;0.4603 ;421.051;0.0493 ;0.0462 ;0.3451 ;0.1967 ;0.0217 ;;0.0034 ;;0.0513 ;;;;;;;0.0004 ;0.0001 ;0.0001 ;0.0133 ;;;;;;0.0006 ;;0.0038 ;;;;;;;0.0847 ;;;0.0003 ;
621;Mining;132.99;fre feb 14, 2020 - 15:51:58;User;2;%;;;;;3a;3;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;Yes;7.5Y; 3/1;Light;Gray;Quartzite;Arrow point preform;Preform;Base;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;;Iron oxide;21;53;7;7;1113;Medium;Öreälven;Mining;585.138;;22.470;383.892;0.1319 ;0.0787 ;0.2823 ;0.2380 ;0.0209 ;;0.0013 ;;0.0637 ;;;;;;;0.0006 ;0.0008 ;;0.0013 ;;;;;;;;0.0090 ;;;;;;;0.0215 ;;;;
622;Mining;131.30;fre feb 14, 2020 - 15:54:47;User;2;%;;;;;3b;3;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;Yes;7.5Y; 3/1;Light;Gray;Quartzite;Arrow point preform;Preform;Tip, oxidized;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;;Iron oxide;21;53;7;7;1113;Medium;Öreälven;Mining;656.160;;53.972;266.567;0.2876 ;0.1597 ;0.5635 ;0.6874 ;0.1648 ;;0.0034 ;;0.3474 ;;;;0.0004 ;;;0.0008 ;0.0015 ;;0.0012 ;;;;;;;;0.0083 ;;;;;;;0.1042 ;;;;
623;Mining;132.84;fre feb 14, 2020 - 15:58:06;User;2;%;;;;;4;4;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;Yes;N1; ;Dark;Black;Quartzite;Arrow point fragment;Point fragment;;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;;;15;15;7;2;225;Small;Öreälven;Mining;595.739;;35.363;354.763;0.3736 ;0.0927 ;0.5018 ;0.2467 ;0.0256 ;;0.0026 ;;0.0713 ;;;;;;;0.0005 ;0.0008 ;;0.0042 ;;;;;;0.0008 ;;0.0070 ;;;;;;;0.0282 ;;;0.0002 ;
624;Mining;133.76;fre feb 14, 2020 - 16:01:44;User;2;%;;;;;5;5;Bjurholm 335;7096501;692860;Sweref 99 TM;Bjurholm;No;2.5Y; 9/1;Light;Opaque;Brecciated quartz;Arrow point fragment;Point fragment;;Massive;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;;;11;16;6;;176;Small;Öreälven;Mining;574.483;0.2251 ;12.192;403.335;0.0465 ;0.0712 ;0.2793 ;0.3007 ;0.0204 ;;0.0072 ;;0.0190 ;;;;;;;;;;0.0021 ;;;;;;0.0005 ;;;;;;;;;0.0270 ;;;;
625;Mining;131.79;fre feb 14, 2020 - 16:04:45;User;2;%;;;;;6;6;Burträsk 32;7149885;761582;Sweref 99 TM;Burträsk;No;N4; ;Light;Gray;Quartzite;Point fragment;Point fragment;;Massive;Fine-grained;Dull;None;None;Conchoidal;No;Quartz;5;;15;16;5;1;240;Small;Null;Mining;0.0182 ;;211.261;666.711;0.2679 ;0.2787 ;21.264;85.548;0.2860 ;0.0031 ;0.0114 ;0.1809 ;0.0120 ;0.0020 ;;;;;;;;;;;;;;;0.0059 ;0.0022 ;0.2166 ;;;;;;;0.2369 ;;;;
626;Mining;131.90;fre feb 14, 2020 - 16:08:24;User;2;%;;;;;7;7;Burträsk 181;7165076;783785;Sweref 99 TM;Burträsk;Yes;5Y; 9/2;Light;Opaque;Quartz;Point preform;Preform;;Massive;Massive;Bright vitreous;None;None;Irregular;Yes;;;;43;48;;;2064;Large;Null;Mining;566.811;;;430.203;;;0.1189 ;0.0440 ;;0.0026 ;;;;;;;;;;;;;;;;;;;;;0.0130 ;;;;;;;0.0035 ;;;;
627;Mining;133.77;fre feb 14, 2020 - 16:11:52;User;2;%;;;;;7;7;Burträsk 181;7165076;783785;Sweref 99 TM;Burträsk;Yes;5Y; 9/2;Light;Opaque;Quartz;Point preform;Preform;;Massive;Massive;Bright vitreous;None;None;Irregular;Yes;;;;43;48;;;2064;Large;Null;Mining;565.142;0.5519 ;;427.629;;;0.1118 ;0.0296 ;;0.0081 ;0.0040 ;;;;;;;;;;;;;;;;;;0.0007 ;;0.0142 ;;;;;;;0.0027 ;;;;
628;Mining;133.60;fre feb 14, 2020 - 16:15:11;User;2;%;;;;;8;8;;7132482;784349;Sweref 99 TM;Bygdeå;No;N2; ;Dark;Gray;Quartzite;Point;Point;;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Conchoidal;Yes;;;Silicon on one side;15;81;;;1215;Medium;Null;Mining;588.628;;0.3651 ;396.596;0.0140 ;0.1131 ;0.2788 ;0.3534 ;0.0479 ;;0.0017 ;;0.0317 ;;;;;;;0.0020 ;0.0005 ;0.0004 ;0.0429 ;;;;;;0.0010 ;;0.0180 ;;;;;;;0.0350 ;;;0.0004 ;
