sample_id;site_id;parish;sweref_x;sweref_y;inv.nr.;sub.nr.;fyndlåda;object;find_nr.;artefact;type;cross_section;photo_nr.;material;color;munsell_hue;munsell_value;texture_1;texture_2;luster;sediment;foliation;homogeneity;inclusion;%-inclusion;surface;patina;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm^2;sample_size;parish_level
1;;Bjurholm;695499;7097158;4925;;;;;Point;Point;;"IMG_9309;IMG_9310";Quartzite;Translucent;2.5Y; 8/2;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;18;58;5;6;1044;Medium;TRUE
2;Bjurholm 336;Bjurholm;7096348;692959;92433;4;;;;Arrow point fragment;Point fragment;;IMG_9311;Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;15;24;5;2;360;Small;
3;Bjurholm 335;Bjurholm;7096501;692860;15302;1;;;;Arrow point preform;Preform;;"IMG_9312;IMG_9313;IMG_9314";Quartzite;Gray;7.5Y; 3/1;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Yes;;;Iron oxide;Yes;21;53;7;7;1113;Medium;
4;Bjurholm 335;Bjurholm;7096501;692860;15302;23;;;;Arrow point fragment;Point fragment;;"IMG_9315;IMG_9316";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;Yes;15;15;7;2;225;Small;
5;Bjurholm 335;Bjurholm;7096501;692860;15302;35;;;;Arrow point fragment;Point fragment;;IMG_9317;Breccie quartz;Opaque;2.5Y; 9/1;Massive;Fine-grained;Bright vitreous;None;None;No;Dark mineral grains;;;No;11;16;6;;176;Small;
6;Burträsk 32;Burträsk;7149885;761582;15319;15;;;;Point fragment;Point fragment;;"IMG_9318;IMG_9319";Quartzite;Gray;N4; ;Massive;Fine-grained;Dull;None;None;No;Quartz;5;;No;15;16;5;1;240;Small;
7;Burträsk 181;Burträsk;7165076;783785;27124;1;;;;Point preform;Preform;;"IMG_9320;IMG_9321";Quartz;Opaque;5Y; 9/2;Massive;Massive;Bright vitreous;None;None;Yes;;;;Yes;43;48;;;2064;Large;
8;;Bygdeå;777641;7124697;4603;;;;;Point;Point;;"IMG_9322;IMG_9323";Quartzite;Gray;N2; ;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Yes;;;Silicon on one side;No;15;81;;;1215;Medium;TRUE
9;;Degerfors;708200;7122125;17440;;;;;Point;Point;;"IMG_9324;IMG_9325";Quartz;Opaque;5Y; 9/2;Massive;Fine-grained;Waxy;None;None;Yes;;;;No;18;42;7;7;756;Medium;TRUE
10;;Degerfors;708200;7122125;19273;12;;;;Arrow point;Point;;"IMG_9326;IMG_9328";Quartzite;Opaque;5Y; 8/2;Massive;Medium-grained;Waxy;None;None;No;Dark mineral grains;;;No;18;23;6;3;414;Small;TRUE
11;;Degerfors;708200;7122125;10141;2 (b);;;;Point;Point;;"IMG_9329;IMG_9330";Quartzite;Opaque;5Y; 8/1;Granular;Medium-grained;Bright vitreous;None;None;Yes;;;;No;12;25;4;2;300;Small;TRUE
12;;Degerfors;708200;7122125;10141;4 (d);;;;Point;Point;;"IMG_9331;IMG_9333";Breccie quartz;Opaque;7.5Y; 8/2;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;;;No;23;30;6;7;690;Medium;TRUE
13;;Degerfors;708200;7122125;14056;1;;;;Point;Point;;"IMG_9334;IMG_9335";Quartzite;White;1Y; 6/3;Massive;Fine-grained;Bright vitreous;None;Yes;Yes;;;;No;22;42;7;7;924;Medium;TRUE
14;Degerfors 318;Degerfors;7141879;717255;15204;4;;;;Point preform;Preform;;"IMG_9336;IMG_9337";Quartzite;White;1Y; 9/1;Granular;Coarse-grained;Dull;None;Yes;No;Quartz;30;Quartz in other matrix;Yes;37;53;17;30;1961;Medium;
15;Lycksele 301;Lycksele;7168150;676423;32334;52;;;;Point;Point;;"IMG_0443;IMG_0444";Quartzite;Opaque;2.5Y; 9/1;Massive;Fine-grained;Waxy;None;None;Yes;;;;Yes;21;33;;10,9;693;Medium;
16;Lycksele 301;Lycksele;7168150;676423;32334;53;;;;Point;Point;;"IMG_0445;IMG_0446";Quartzite;White;N9; ;Granular;Fine-grained;Bright vitreous;None;Possible foliation;Yes;;;Pink color and possibly charcoal and iron oxide;Yes;20,8;43,6;;8;906,88;Medium;
17;Lycksele 301;Lycksele;7168150;676423;32334;54;;;;Arrow point;Point;;"IMG_0447;IMG_0448";Quartzite;Black;N2; ;Granular;Fine-grained;Bright vitreous;None;None;No;Mineral grains;;;Yes;16,8;35,7;;3,4;599,76;Small;
18;Lycksele 301;Lycksele;7168150;676423;32334;56;;;;Point;Point;;"IMG_0449;IMG_0450";Quartzite;Opaque;5Y; 9/2;Granular;Fine-grained;Bright vitreous;None;None;Yes;;;;No;19,6;41,3;;4,1;809,48;Medium;
19;Lycksele 301;Lycksele;7168150;676423;32334;57;;;;Arrow point;Point;;"IMG_0451;IMG_0454";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;Yes;16,2;55,7;;6,2;902,34;Medium;
20;Lycksele 301;Lycksele;7168150;676423;32334;58;;;;Point;Point;;"IMG_0455;IMG_0457";Quartzite;Black;N2; ;Granular;Medium-grained;Waxy;None;None;No;Mineral grains;;;Yes;18,8;53,2;;7,3;1000,16;Medium;
21;Lycksele 301;Lycksele;7168150;676423;32334;59;;;;Arrow point;Point;;"IMG_0458;IMG_0459";Quartzite;White;5Y; 8/2;Granular;Fine-grained;Waxy;None;None;Yes;;;;No;16,5;39,7;;4,2;655,05;Medium;
22;Lycksele 401;Lycksele;7182333;648209;35444;1;;;;Arrow point;Point;;"IMG_9354;IMG_9355";Quartzite;Black;N1; ;Granular;Medium-grained;Bright vitreous;None;None;No;Mineral grains;;;No;22;45;;;990;Medium;
23;Lycksele 401;Lycksele;7182333;648209;35444;2;;;;Arrow point;Point;;"IMG_9356;IMG_9357";Quartz;Opaque;5Y; 8/3;Massive;Fine-grained;Waxy;None;None;Yes;;;;No;15;32;;;480;Small;
24;;Sorsele;580359;7289930;4130;;;;;Point;Point;;"IMG_9358;IMG_9359";Quartzite;Opaque;7.5Y; 7/2;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;15;59;;;885;Medium;TRUE
25;Sorsele 282;Sorsele;7245571;623775;14745;7;;;;Point preform;Preform;;"IMG_9360;IMG_9361";Quartzite;Gray;N3; ;Granular;Medium-grained;Waxy;None;None;Yes;;;;No;38;56;20;33;2128;Large;
26;;Sorsele;580359;7289930;4131;;;;;Point fragment;Point fragment;;"IMG_9362;IMG_9363";Quartzite;Opaque;7.5Y; 7/2;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;18;50;6;6;900;Medium;TRUE
27;;Sorsele;580359;7289930;14724;1;;;;Point;Point;;"IMG_9364;IMG_9365";Quartzite;Translucent;; ;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;23;44;6;7;1012;Medium;TRUE
28;Sorsele 552;Sorsele;7316830;555778;14777;2;;;;Point;Point;;"IMG_9366;IMG_9367";Quartzite;Black;N2; ;Granular;Medium-grained;Bright vitreous;None;None;No;Bands of quartz;;Iron oxide;Yes;15;15;5;2;225;Small;
29;Sorsele 733;Sorsele;7300838;576919;19282;5;;;;Point;Point;;"IMG_9368;IMG_9369";Quartzite;Opaque;2.5Y; 8/1;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;9;25;5;2;225;Small;
30;;Sorsele;580359;7289930;19282;6;;;;Preform;Preform;;"IMG_9370;IMG_9371";Quartzite;Gray;N3; ;Granular;Medium-grained;Waxy;None;None;No;Bands of dark mineral;;;No;38;77;20;75;2926;Large;TRUE
31;Sorsele 733;Sorsele;7300838;576919;19282;7;;;;Point;Point;;"IMG_9372;IMG_9373";Quartzite;Gray;N1; ;Granular;Fine-grained;Bright vitreous;None;None;No;Bands of quartz;;;No;17;31;6;5;527;Small;
32;Sorsele 733;Sorsele;7300838;576919;19282;8;;;;Point;Point;;"IMG_9374;IMG_9375";Quartzite;Black;N1; ;Granular;Medium-grained;Waxy;None;None;No;Mineral grains;;;No;25;55;9;13;1375;Medium;
33;Sorsele 334;Sorsele;7267203;584998;35401;2;;;;Point fragment;Point fragment;;"IMG_9376;IMG_9377";Breccie quartz;Translucent;5Y; 9/1;Massive;Fine-grained;Waxy;None;None;No;Dark mineral grains;;;No;17;25;;;425;Small;
34;Stensele 83;Stensele;7216217;605963;19340;5;;;;Point;Point;;"IMG_9379;IMG_9382";Quartzite;Opaque;N9; ;Massive;Fine-grained;Bright vitreous;None;None;Yes;;;;No;23;32;8;6;736;Medium;
