sample_id;site_id;sweref_x;sweref_y;parish;color;hue;munsell_hue;munsell_value;material;artefact;type;find_context;patina;texture_1;texture_2;luster;sediment;foliation;topgraphy;homogeneity;inclusion;max_width_mm;max_length_mm;max_height_cm;weight_g;area_mm2;sample_size;river
1;;7097169;695505;Bjurholm;Translucent;Colourless;2.5Y; 8/2;Quartzite;Point;Point;Stray find;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;Yes;;18;58;5;6;1044;Medium;Öreälven
2;Bjurholm 336;7096348;692959;Bjurholm;Black;Dark;N1; ;Quartzite;Arrow point fragment;Point fragment;Excavation;No;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;15;24;5;2;360;Small;Öreälven
3;Bjurholm 335;7096501;692860;Bjurholm;Gray;Dark;7.5Y; 3/1;Quartzite;Arrow point preform;Preform;Excavation;Yes;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Fine;Yes;;21;53;7;7;1113;Medium;Öreälven
4;Bjurholm 335;7096501;692860;Bjurholm;Black;Dark;N1; ;Quartzite;Arrow point fragment;Point fragment;Excavation;Yes;Granular;Medium-grained;Bright vitreous;None;None;Fine;Yes;;15;15;7;2;225;Small;Öreälven
5;Bjurholm 335;7096501;692860;Bjurholm;Opaque;Light;2.5Y; 9/1;Brecciated quartz;Arrow point fragment;Point fragment;Excavation;No;Massive;Fine-grained;Bright vitreous;None;None;Fine;No;Dark mineral grains;11;16;6;;176;Small;Öreälven
6;Burträsk 32;7149885;761582;Burträsk;Gray;Dark;N4; ;Quartzite;Point fragment;Point fragment;Excavation;No;Massive;Fine-grained;Dull;None;None;Conchoidal;No;Quartz;15;16;5;1;240;Small;Null
7;Burträsk 181;7165076;783785;Burträsk;Opaque;Light;5Y; 9/2;Quartz;Point preform;Preform;Surveyed;Yes;Massive;Massive;Bright vitreous;None;None;Irregular;Yes;;43;48;;;2064;Large;Null
8;;7132482;784349;Bygdeå;Gray;Dark;N2; ;Quartzite;Point;Point;Stray find;No;Granular;Medium-grained;Bright vitreous;Possible bedding;None;Conchoidal;Yes;;15;81;;;1215;Medium;Null
9;;7144375;717871;Degerfors;Opaque;Light;5Y; 9/2;Quartz;Point;Point;Stray find;No;Massive;Fine-grained;Waxy;None;None;Conchoidal;Yes;;18;42;7;7;756;Medium;Vindelälven
10;Degerfors 167;7144375;717871;Degerfors;Opaque;Light;5Y; 8/2;Quartzite;Arrow point;Point;Surveyed;No;Massive;Medium-grained;Waxy;None;None;Fine;No;Dark mineral grains;18;23;6;3;414;Small;Vindelälven
11;;7144375;717871;Degerfors;Opaque;Light;5Y; 8/1;Quartzite;Point;Point;Unknown;No;Granular;Medium-grained;Bright vitreous;None;None;Smooth;Yes;;12;25;4;2;300;Small;Vindelälven
